Sigla,Codigo,Municipio,pop,fundo_municipal,desp_orcament,receita,superavit,fundo_municipal_PC,desp_orcament_PC ,receita_PC,,
BA,2911006,Floresta Azul,10.660,6.564.361,10.134.519,13.567.543,3.433.024,615.79,950.71,1272.75,,
BA,2911105,Formosa do Rio Preto,22.528,9.846.541,31.271.909,44.026.251,12.754.342,437.08,1388.14,1954.29,,
BA,2911204,Gandu,30.336,13.187.221,22.063.450,35.201.482,13.138.032,434.71,727.30,1160.39,,
BA,2911253,Gavião,4.561,4.923.270,5.877.902,8.912.430,3.034.528,1079.43,1288.73,1954.05,,
BA,2911303,Gentio do Ouro,10.622,6.564.361,10.009.994,11.821.483,1.811.489,618.00,942.38,1112.92,,
BA,2911402,Glória,15.076,8.205.724,14.907.064,23.273.200,8.366.136,544.29,988.79,1543.73,,
BA,2911501,Gongogi,8.357,7.794.034,13.826.799,19.255.521,5.428.722,932.64,1654.52,2304.12,,
BA,2911600,Governador Mangabeira,19.818,9.846.541,19.137.332,25.502.600,6.365.268,496.85,965.65,1286.84,,
BA,2911659,Guajeru,10.412,4.923.270,9.530.500,11.274.011,1.743.511,472.85,915.34,1082.79,,
BA,2911709,Guanambi,78.833,21.334.172,54.668.754,76.398.113,21.729.359,270.62,693.48,969.11,,
BA,2911808,Guaratinga,22.165,9.846.541,17.470.102,26.531.000,9.060.898,444.24,788.18,1196.98,,
BA,2911857,Heliópolis,13.192,8.205.451,9.595.803,18.580.148,8.984.345,622.00,727.40,1408.44,,
BA,2911907,Iaçu,25.736,11.487.631,23.570.668,34.727.661,11.156.993,446.36,915.86,1349.38,,
BA,2912004,Ibiassucê,10.062,4.923.270,10.436.761,13.360.683,2.923.922,489.29,1037.25,1327.84,,
BA,2912103,Ibicaraí,24.272,11.487.631,23.912.009,29.140.393,5.228.384,473.29,985.17,1200.58,,
BA,2912202,Ibicoara,17.282,8.205.451,16.552.261,27.710.138,11.157.877,474.80,957.77,1603.41,,
BA,2912301,Ibicuí,15.785,8.205.451,13.207.953,20.462.793,7.254.840,519.83,836.74,1296.34,,
BA,2912400,Ibipeba,17.008,9.846.541,14.592.516,20.658.792,6.066.276,578.94,857.98,1214.65,,
BA,2912509,Ibipitanga,14.171,8.205.451,12.180.384,17.536.508,5.356.124,579.03,859.53,1237.49,,
BA,2912608,Ibiquera,4.866,4.923.270,4.647.304,8.097.626,3.450.322,1011.77,955.06,1664.12,,
BA,2912707,Ibirapitanga,22.598,11.494.555,20.045.874,34.183.458,14.137.584,508.65,887.06,1512.68,,
BA,2912806,Ibirapuã,7.956,4.923.270,12.022.447,13.748.848,1.726.401,618.81,1511.12,1728.11,,
BA,2912905,Ibirataia,18.943,11.487.631,24.422.957,29.143.258,4.720.301,606.43,1289.29,1538.47,,
BA,2913002,Ibitiara,15.508,8.205.451,14.459.143,19.004.942,4.545.799,529.11,932.37,1225.49,,
BA,2913101,Ibititá,17.840,9.846.750,15.032.917,23.068.589,8.035.672,551.95,842.65,1293.08,,
BA,2913200,Ibotirama,25.424,11.487.631,20.014.289,30.398.467,10.384.178,451.84,787.22,1195.66,,
BA,2913309,Ichu,5.255,7.794.034,13.826.799,19.255.521,5.428.722,1483.17,2631.17,3664.23,,
BA,2913408,Igaporã,15.205,8.205.451,15.545.962,20.779.357,5.233.395,539.65,1022.42,1366.61,,
BA,2913457,Igrapiúna,13.343,7.794.034,13.826.799,19.255.521,5.428.722,584.13,1036.26,1443.12,,
BA,2913507,Iguaí,25.705,11.498.754,22.973.883,29.446.083,6.472.200,447.34,893.75,1145.54,,
BA,2913606,Ilhéus,184.236,53.072.901,175.521.044,206.861.298,31.340.254,288.07,952.70,1122.81,,
BA,2913705,Inhambupe,36.306,13.128.721,27.524.548,39.068.847,11.544.299,361.61,758.13,1076.10,,
BA,2913804,Ipecaetá,15.331,7.946.627,18.034.086,25.080.391,7.046.305,518.34,1176.32,1635.93,,
BA,2913903,Ipiaú,44.390,14.870.546,34.072.394,44.356.034,10.283.640,335.00,767.57,999.23,,
BA,2914000,Ipirá,59.343,19.693.082,46.089.798,60.208.890,14.119.092,331.85,776.67,1014.59,,
BA,2914109,Ipupiara,9.285,4.923.270,7.928.286,11.780.529,3.852.243,530.24,853.88,1268.77,,
BA,2914208,Irajuba,7.002,3.979.811,8.717.766,11.072.091,2.354.325,568.38,1245.04,1581.28,,
BA,2914307,Iramaia,11.990,8.205.451,13.062.640,19.623.254,6.560.614,684.36,1089.46,1636.64,,
BA,2914406,Iraquara,22.601,11.487.631,19.519.257,28.823.756,9.304.499,508.28,863.65,1275.33,,
BA,2914505,Irará,27.466,11.487.631,26.587.899,33.144.433,6.556.534,418.25,968.03,1206.74,,
BA,2914604,Irecê,66.181,19.717.265,54.703.440,92.149.738,37.446.298,297.93,826.57,1392.39,,
BA,2914653,Itabela,28.390,11.487.631,28.001.034,36.927.721,8.926.687,404.64,986.30,1300.73,,
BA,2914703,Itaberaba,61.631,19.693.082,43.727.264,69.271.681,25.544.417,319.53,709.50,1123.97,,
BA,2914802,Itabuna,204.667,7.794.034,13.826.799,19.255.521,5.428.722,38.08,67.56,94.08,,
BA,2914901,Itacaré,24.318,11.487.631,23.058.426,29.880.549,6.822.123,472.39,948.20,1228.74,,
BA,2915007,Itaeté,14.924,7.794.034,13.826.799,19.255.521,5.428.722,522.25,926.48,1290.24,,
BA,2915106,Itagi,13.051,7.794.034,13.826.799,19.255.521,5.428.722,597.20,1059.44,1475.41,,
BA,2915205,Itagibá,15.193,8.205.451,19.817.395,26.061.865,6.244.470,540.08,1304.38,1715.39,,
BA,2915304,Itagimirim,7.110,4.923.270,10.879.096,12.800.277,1.921.181,692.44,1530.11,1800.32,,
BA,2915353,Itaguaçu da Bahia,13.209,6.623.469,13.419.733,18.558.128,5.138.395,501.44,1015.95,1404.96,,
BA,2915403,Itaju do Colônia,7.309,4.923.270,7.867.822,11.724.056,3.856.234,673.59,1076.46,1604.06,,
BA,2915502,Itajuípe,21.081,9.846.541,20.806.410,27.045.281,6.238.871,467.08,986.97,1282.92,,
BA,2915601,Itamaraju,63.069,19.693.082,55.075.556,69.024.268,13.948.712,312.25,873.26,1094.42,,
BA,2915700,Itamari,7.903,4.923.270,10.654.044,14.541.268,3.887.224,622.96,1348.10,1839.97,,
BA,2915809,Itambé,23.089,13.128.721,21.298.157,30.190.201,8.892.044,568.61,922.44,1307.56,,
BA,2915908,Itanagra,7.598,4.923.270,8.128.415,12.482.937,4.354.522,647.97,1069.81,1642.92,,
BA,2916005,Itanhém,20.216,9.697.148,18.627.141,25.255.138,6.627.997,479.68,921.41,1249.26,,
BA,2916104,Itaparica,20.725,7.794.034,13.826.799,19.255.521,5.428.722,376.07,667.16,929.10,,
BA,2916203,Itapé,10.995,6.564.361,8.927.053,13.644.017,4.716.964,597.03,811.92,1240.93,,
BA,2916302,Itapebi,10.495,6.564.361,16.434.458,24.143.787,7.709.329,625.48,1565.93,2300.50,,
BA,2916401,Itapetinga,68.273,19.693.082,57.846.737,78.630.285,20.783.548,288.45,847.29,1151.70,,
BA,2916500,Itapicuru,32.261,13.128.721,27.186.150,36.182.439,8.996.289,406.95,842.69,1121.55,,
BA,2916609,Itapitanga,10.207,6.564.673,12.053.233,16.170.009,4.116.776,643.15,1180.88,1584.21,,
BA,2916708,Itaquara,7.678,4.967.602,6.877.918,10.922.963,4.045.045,646.99,895.80,1422.63,,
BA,2916807,Itarantim,18.539,9.846.541,17.120.313,22.613.068,5.492.755,531.13,923.48,1219.76,,
BA,2916856,Itatim,14.522,8.205.451,17.061.587,20.714.181,3.652.594,565.04,1174.88,1426.40,,
BA,2916906,Itiruçu,12.693,6.633.019,11.760.164,14.965.663,3.205.499,522.57,926.51,1179.05,,
BA,2917003,Itiúba,36.113,10.612.829,36.309.624,37.392.686,1.083.062,293.88,1005.44,1035.44,,
BA,2917102,Itororó,19.914,9.846.755,20.188.322,26.781.295,6.592.973,494.46,1013.78,1344.85,,
BA,2917201,Ituaçu,18.127,9.846.541,17.260.935,25.326.671,8.065.736,543.20,952.22,1397.18,,
BA,2917300,Ituberá,26.591,11.487.631,22.478.779,32.680.205,10.201.426,432.01,845.35,1228.99,,
BA,2917334,Iuiú,10.900,6.564.361,10.434.881,15.356.201,4.921.320,602.23,957.33,1408.83,,
BA,2917359,Jaborandi,8.973,4.923.270,14.146.957,21.840.086,7.693.129,548.68,1576.61,2433.98,,
BA,2917409,Jacaraci,13.651,8.205.451,16.874.939,18.838.143,1.963.204,601.09,1236.17,1379.98,,
BA,2917508,Jacobina,79.247,21.334.172,62.369.171,88.868.285,26.499.114,269.21,787.02,1121.41,,
BA,2917607,Jaguaquara,51.011,16.410.901,27.571.368,46.305.287,18.733.919,321.71,540.50,907.75,,
BA,2917706,Jaguarari,30.343,11.487.631,29.219.939,47.443.936,18.223.997,378.59,962.99,1563.59,,
BA,2917805,Jaguaripe,16.467,7.794.034,13.826.799,19.255.521,5.428.722,473.31,839.67,1169.34,,
BA,2917904,Jandaíra,10.331,4.923.270,11.523.470,15.687.316,4.163.846,476.55,1115.43,1518.47,,
BA,2918001,Jequié,151.895,51.431.810,112.784.747,193.401.474,80.616.727,338.60,742.52,1273.26,,
BA,2918100,Jeremoabo,37.680,14.769.811,25.677.491,40.909.789,15.232.298,391.98,681.46,1085.72,,
BA,2918209,Jiquiriçá,14.118,8.198.662,10.982.864,17.886.202,6.903.338,580.72,777.93,1266.91,,
BA,2918308,Jitaúna,14.115,8.205.546,19.533.720,20.101.407,567.687,581.34,1383.90,1424.12,,
BA,2918357,João Dourado,22.549,9.846.541,19.618.338,25.301.356,5.683.018,436.67,870.03,1122.06,,
BA,2918407,Juazeiro,197.965,53.072.901,253.938.901,275.500.110,21.561.209,268.09,1282.75,1391.66,,
BA,2918456,Jucuruçu,10.290,6.642.602,10.540.768,15.465.108,4.924.340,645.54,1024.37,1502.93,,
BA,2918506,Jussara,15.052,8.205.451,14.389.854,18.963.023,4.573.169,545.14,956.01,1259.83,,
BA,2918555,Jussari,6.474,7.794.034,13.826.799,19.255.521,5.428.722,1203.90,2135.74,2974.28,,
BA,2918605,Jussiape,8.031,5.923.270,6.265.231,12.694.091,6.428.860,737.55,780.13,1580.64,,
BA,2918704,Lafaiete Coutinho,3.901,4.923.270,5.486.244,8.235.963,2.749.719,1262.05,1406.37,2111.24,,
BA,2918753,Lagoa Real,13.934,8.205.451,11.608.848,18.431.449,6.822.601,588.88,833.13,1322.77,,
BA,2918803,Laje,22.201,9.846.641,21.572.980,32.326.362,10.753.382,443.52,971.71,1456.08,,
BA,2918902,Lajedão,3.733,4.923.270,7.360.827,9.275.389,1.914.562,1318.85,1971.83,2484.70,,
BA,2919009,Lajedinho,3.936,4.923.270,5.742.036,8.892.440,3.150.404,1250.83,1458.85,2259.26,,
BA,2919058,Lajedo do Tabocal,8.305,4.923.270,8.675.417,11.631.696,2.956.279,592.81,1044.60,1400.57,,
BA,2919108,Lamarão,9.560,6.564.361,9.912.012,13.526.296,3.614.284,686.65,1036.82,1414.88,,
BA,2919157,Lapão,25.646,11.487.631,24.521.679,28.777.124,4.255.445,447.93,956.16,1122.09,,
BA,2919207,Lauro de Freitas,163.449,52.807.636,158.850.502,268.846.286,109.995.784,323.08,971.87,1644.83,,
BA,2919306,Lençóis,10.368,4.923.270,9.422.425,14.372.751,4.950.326,474.85,908.80,1386.26,,
BA,2919405,Licínio de Almeida,12.311,6.564.361,10.577.147,15.286.400,4.709.253,533.21,859.16,1241.69,,
BA,2919504,Livramento de Nossa Senhora,42.693,16.410.901,24.048.560,44.329.023,20.280.463,384.39,563.29,1038.32,,
BA,2919553,Luís Eduardo Magalhães,60.105,18.051.986,61.134.504,106.667.950,45.533.446,300.34,1017.13,1774.69,,
BA,2919603,Macajuba,11.229,6.564.361,9.856.073,16.169.747,6.313.674,584.59,877.73,1440.00,,
BA,2919702,Macarani,17.093,8.205.451,17.623.230,21.940.908,4.317.678,480.05,1031.02,1283.62,,
BA,2919801,Macaúbas,47.051,16.410.901,39.737.414,52.779.087,13.041.673,348.79,844.56,1121.74,,
BA,2919900,Macururé,8.073,7.794.034,13.826.799,19.255.521,5.428.722,965.44,1712.72,2385.18,,
BA,2919926,Madre de Deus,17.376,8.205.451,70.927.101,119.547.086,48.619.985,472.23,4081.90,6880.01,,
BA,2919959,Maetinga,7.038,7.794.034,13.826.799,19.255.521,5.428.722,1107.42,1964.59,2735.94,,
BA,2920007,Maiquinique,8.782,4.923.270,8.383.956,11.501.825,3.117.869,560.61,954.68,1309.70,,
BA,2920106,Mairi,19.326,9.846.541,18.912.536,25.374.767,6.462.231,509.50,978.61,1312.99,,
BA,2920205,Malhada,16.014,7.794.034,13.826.799,19.255.521,5.428.722,486.70,863.42,1202.42,,
BA,2920304,Malhada de Pedras,8.468,4.923.270,7.850.599,11.239.081,3.388.482,581.40,927.09,1327.24,,
BA,2920403,Manoel Vitorino,14.387,8.205.451,12.306.829,21.163.042,8.856.213,570.34,855.41,1470.98,,
BA,2920452,Mansidão,12.592,6.587.344,9.119.820,17.666.263,8.546.443,523.14,724.26,1402.98,,
BA,2920502,Maracás,24.613,13.128.722,21.877.862,31.095.869,9.218.007,533.41,888.87,1263.39,,
BA,2920601,Maragogipe,42.815,14.769.811,37.477.535,58.071.201,20.593.666,344.97,875.34,1356.33,,
BA,2920700,Maraú,19.101,7.794.034,13.826.799,19.255.521,5.428.722,408.04,723.88,1008.09,,
BA,2920809,Marcionílio Souza,10.500,7.794.034,13.826.799,19.255.521,5.428.722,742.29,1316.84,1833.86,,
BA,2920908,Mascote,14.640,8.205.451,14.947.356,19.980.879,5.033.523,560.48,1020.99,1364.81,,
BA,2921005,Mata de São João,40.183,14.769.811,67.567.602,83.906.630,16.339.028,367.56,1681.50,2088.11,,
BA,2921054,Matina,11.145,6.564.361,10.234.847,16.507.171,6.272.324,589.00,918.34,1481.13,,
BA,2921104,Medeiros Neto,21.560,9.846.541,24.792.645,30.988.089,6.195.444,456.70,1149.94,1437.30,,
BA,2921203,Miguel Calmon,26.475,11.487.631,22.345.817,29.958.336,7.612.519,433.90,844.03,1131.57,,
BA,2921302,Milagres,10.306,6.564.361,10.091.404,15.744.497,5.653.093,636.95,979.18,1527.70,,
BA,2921401,Mirangaba,16.279,7.794.034,13.826.799,19.255.521,5.428.722,478.78,849.36,1182.84,,
BA,2921450,Mirante,10.507,4.923.270,8.961.250,12.696.389,3.735.139,468.57,852.88,1208.37,,
BA,2921500,Monte Santo,52.338,18.051.992,50.484.969,71.070.887,20.585.918,344.91,964.59,1357.92,,
BA,2921609,Morpará,8.280,4.923.270,7.445.804,11.472.275,4.026.471,594.60,899.25,1385.54,,
BA,2921708,Morro do Chapéu,35.164,13.128.721,30.443.775,40.536.297,10.092.522,373.36,865.77,1152.78,,
BA,2921807,Mortugaba,12.477,8.205.451,9.798.758,16.006.218,6.207.460,657.65,785.35,1282.86,,
BA,2921906,Mucugê,10.545,8.205.451,11.440.025,20.856.943,9.416.918,778.14,1084.88,1977.90,,
BA,2922003,Mucuri,36.026,13.246.938,57.767.677,87.978.727,30.211.050,367.70,1603.50,2442.09,,
BA,2922052,Mulungu do Morro,12.249,8.205.484,11.897.167,18.895.304,6.998.137,669.89,971.28,1542.60,,
BA,2922102,Mundo Novo,24.395,11.487.631,20.707.220,26.843.862,6.136.642,470.90,848.83,1100.38,,
BA,2922201,Muniz Ferreira,7.317,4.923.280,7.317.319,10.981.930,3.664.611,672.85,1000.04,1500.88,,
BA,2922250,Muquém de São Francisco,10.272,6.564.361,12.934.150,21.724.122,8.789.972,639.05,1259.17,2114.89,,
BA,2922300,Muritiba,28.899,11.487.631,19.742.620,28.272.009,8.529.389,397.51,683.16,978.30,,
BA,2922409,Mutuípe,21.449,9.846.541,16.786.068,24.215.463,7.429.395,459.07,782.60,1128.98,,
BA,2922508,Nazaré,27.274,11.492.281,19.558.918,28.907.773,9.348.855,421.36,717.13,1059.90,,
BA,2922607,Nilo Peçanha,12.530,6.405.785,12.569.118,21.330.778,8.761.660,511.24,1003.12,1702.38,,
BA,2922656,Nordestina,12.371,6.623.469,12.544.787,18.831.253,6.286.466,535.40,1014.05,1522.21,,
BA,2922706,Nova Canaã,16.713,9.846.541,13.791.831,20.334.782,6.542.951,589.15,825.22,1216.70,,
BA,2922730,Nova Fátima,7.602,4.923.270,7.865.374,11.619.284,3.753.910,647.63,1034.65,1528.45,,
BA,2922755,Nova Ibiá,6.648,4.923.270,8.818.601,11.735.948,2.917.347,740.56,1326.50,1765.34,,
BA,2922805,Nova Itarana,7.435,4.923.270,7.034.801,9.721.649,2.686.848,662.17,946.17,1307.55,,
BA,2922854,Nova Redenção,8.034,4.967.602,7.026.173,11.603.293,4.577.120,618.32,874.55,1444.27,,
BA,2922904,Nova Soure,24.136,11.487.631,21.169.736,29.826.310,8.656.574,475.95,877.10,1235.76,,
BA,2923001,Nova Viçosa,38.556,13.128.721,36.187.305,54.609.857,18.422.552,340.51,938.56,1416.38,,
BA,2923035,Novo Horizonte,10.673,6.564.361,8.780.190,13.752.853,4.972.663,615.04,822.65,1288.56,,
BA,2923050,Novo Triunfo,15.051,8.206.036,9.869.685,15.584.387,5.714.702,545.22,655.75,1035.44,,
BA,2923100,Olindina,24.943,11.487.631,22.232.015,29.486.986,7.254.971,460.56,891.31,1182.17,,
BA,2923209,Oliveira dos Brejinhos,21.831,9.846.541,19.581.965,26.995.428,7.413.463,451.03,896.98,1236.56,,
BA,2923308,Ouriçangas,8.298,4.923.270,7.309.169,11.531.680,4.222.511,593.31,880.84,1389.69,,
BA,2923357,Ourolândia,16.425,7.794.034,13.826.799,19.255.521,5.428.722,474.52,841.81,1172.33,,
BA,2923407,Palmas de Monte Alto,20.775,9.846.541,21.067.465,28.129.273,7.061.808,473.96,1014.08,1354.00,,
BA,2923506,Palmeiras,8.410,4.923.270,6.606.189,10.526.298,3.920.109,585.41,785.52,1251.64,,
BA,2923605,Paramirim,21.001,9.846.541,17.414.359,28.181.263,10.766.904,468.86,829.22,1341.90,,
BA,2923704,Paratinga,29.504,11.487.631,23.966.482,35.067.649,11.101.167,389.36,812.31,1188.57,,
BA,2923803,Paripiranga,27.778,7.794.034,13.826.799,19.255.521,5.428.722,280.58,497.76,693.19,,
BA,2923902,Pau Brasil,10.852,6.564.361,10.622.586,15.421.508,4.798.922,604.90,978.86,1421.08,,
BA,2924009,Paulo Afonso,108.396,26.257.442,105.901.484,162.943.518,57.042.034,242.24,976.99,1503.22,,
BA,2924058,Pé de Serra,13.752,7.794.034,13.826.799,19.255.521,5.428.722,566.76,1005.44,1400.20,,
BA,2924108,Pedrão,6.876,4.923.270,6.901.704,10.673.406,3.771.702,716.01,1003.74,1552.27,,
BA,2924207,Pedro Alexandre,16.995,9.857.693,15.629.203,22.322.025,6.692.822,580.03,919.64,1313.45,,
BA,2924306,Piatã,17.982,9.846.541,13.351.969,24.008.482,10.656.513,547.58,742.52,1335.14,,
BA,2924405,Pilão Arcado,32.860,13.128.721,28.993.672,44.307.562,15.313.890,399.54,882.34,1348.37,,
BA,2924504,Pindaí,15.628,8.205.451,15.826.990,20.889.393,5.062.403,525.05,1012.73,1336.66,,
BA,2924603,Pindobaçu,20.121,9.846.541,18.185.051,26.658.952,8.473.901,489.37,903.78,1324.93,,
BA,2924652,Pintadas,10.342,6.564.361,11.044.108,14.588.104,3.543.996,634.73,1067.89,1410.57,,
BA,2924678,Piraí do Norte,9.799,4.923.270,9.799.838,13.282.329,3.482.491,502.43,1000.09,1355.48,,
BA,2924702,Piripá,12.783,6.564.361,10.546.551,15.401.501,4.854.950,513.52,825.05,1204.84,,
BA,2924801,Piritiba,22.399,11.487.631,22.195.379,25.153.108,2.957.729,512.86,990.91,1122.96,,
BA,2924900,Planaltino,8.822,3.979.811,7.672.949,10.900.309,3.227.360,451.12,869.75,1235.58,,
BA,2925006,Planalto,24.481,9.846.541,15.241.248,25.911.825,10.670.577,402.21,622.57,1058.45,,
BA,2925105,Poções,44.701,13.274.560,28.126.945,39.557.874,11.430.929,296.96,629.22,884.94,,
BA,2925204,Pojuca,33.066,13.128.721,55.872.015,81.739.066,25.867.051,397.05,1689.71,2472.00,,
BA,2925253,Ponto Novo,15.742,8.205.451,13.456.889,22.397.344,8.940.455,521.25,854.84,1422.78,,
BA,2925303,Porto Seguro,126.929,7.794.034,13.826.799,19.255.521,5.428.722,61.40,108.93,151.70,,
BA,2925402,Potiraguá,9.810,4.923.270,9.686.061,12.827.455,3.141.394,501.86,987.37,1307.59,,
BA,2925501,Prado,27.627,11.487.631,32.958.650,41.662.928,8.704.278,415.81,1192.99,1508.05,,
BA,2925600,Presidente Dutra,13.750,8.205.451,12.285.947,17.997.753,5.711.806,596.76,893.52,1308.93,,
BA,2925709,Presidente Jânio Quadros,13.652,8.205.451,12.787.102,18.804.814,6.017.712,601.04,936.65,1377.44,,
BA,2925758,Presidente Tancredo Neves,23.846,11.415.176,19.109.607,34.276.874,15.167.267,478.70,801.38,1437.43,,
BA,2925808,Queimadas,24.602,7.794.034,13.826.799,19.255.521,5.428.722,316.80,562.02,782.68,,
BA,2925907,Quijingue,27.228,11.487.631,21.315.136,34.606.283,13.291.147,421.91,782.84,1270.98,,
BA,2925931,Quixabeira,9.554,4.923.270,7.659.074,11.482.504,3.823.430,515.31,801.66,1201.85,,
BA,2925956,Rafael Jambeiro,22.874,11.487.631,18.277.501,31.909.679,13.632.178,502.21,799.05,1395.02,,
BA,2926004,Remanso,38.957,14.769.811,34.661.029,49.020.979,14.359.950,379.13,889.73,1258.34,,
BA,2926103,Retirolândia,12.055,6.564.361,10.913.938,15.875.887,4.961.949,544.53,905.35,1316.95,,
BA,2926202,Riachão das Neves,21.937,9.846.541,18.340.551,33.926.246,15.585.695,448.86,836.06,1546.53,,
BA,2926301,Riachão do Jacuípe,33.172,13.128.721,23.989.332,32.443.541,8.454.209,395.78,723.18,978.04,,
BA,2926400,Riacho de Santana,30.646,13.167.573,20.740.682,34.901.701,14.161.019,429.67,676.78,1138.87,,
BA,2926509,Ribeira do Amparo,14.276,8.205.451,13.352.553,21.767.961,8.415.408,574.77,935.31,1524.79,,
BA,2926608,Ribeira do Pombal,47.518,16.410.901,42.261.621,53.239.926,10.978.305,345.36,889.38,1120.42,,
BA,2926657,Ribeirão do Largo,8.602,7.794.034,13.826.799,19.255.521,5.428.722,906.07,1607.39,2238.49,,
BA,2926707,Rio de Contas,13.007,8.205.451,9.873.896,15.749.939,5.876.043,630.85,759.12,1210.88,,
BA,2926806,Rio do Antônio,14.815,8.205.451,13.599.553,18.209.694,4.610.141,553.86,917.96,1229.14,,
BA,2926905,Rio do Pires,11.918,6.564.361,10.927.982,14.912.801,3.984.819,550.79,916.93,1251.28,,
BA,2927002,Rio Real,37.164,14.769.811,32.081.494,42.879.447,10.797.953,397.42,863.24,1153.79,,
BA,2927101,Rodelas,7.775,4.923.270,9.143.566,13.015.606,3.872.040,633.22,1176.02,1674.03,,
BA,2927200,Ruy Barbosa,29.887,11.487.631,20.357.718,30.688.495,10.330.777,384.37,681.16,1026.82,,
BA,2927309,Salinas da Margarida,13.456,8.206.827,19.993.655,23.199.325,3.205.670,609.90,1485.85,1724.09,,
BA,2927408,Salvador,2.675.656,395.143.162,1.893.759.057,3.058.053.437,1.164.294.380,147.68,707.77,1142.92,,
BA,2927507,Santa Bárbara,19.064,9.846.541,14.068.569,20.610.979,6.542.410,516.50,737.97,1081.15,,
BA,2927606,Santa Brígida,15.060,9.142.641,13.347.753,21.300.076,7.952.323,607.08,886.30,1414.35,,
BA,2927705,Santa Cruz Cabrália,26.264,11.487.631,24.138.684,38.689.104,14.550.420,437.39,919.08,1473.08,,
BA,2927804,Santa Cruz da Vitória,6.673,7.794.034,13.826.799,19.255.521,5.428.722,1168.00,2072.05,2885.59,,
BA,2927903,Santa Inês,10.363,6.564.361,8.741.048,13.303.796,4.562.748,633.44,843.49,1283.78,,
BA,2928000,Santaluz,33.838,13.128.721,21.774.620,34.953.670,13.179.050,387.99,643.50,1032.97,,
BA,2928059,Santa Luzia,13.344,7.794.034,13.826.799,19.255.521,5.428.722,584.09,1036.18,1443.01,,
BA,2928109,Santa Maria da Vitória,40.309,14.769.811,29.341.349,44.599.214,15.257.865,366.41,727.91,1106.43,,
BA,2928208,Santana,24.750,11.487.631,18.231.965,30.189.454,11.957.489,464.15,736.65,1219.78,,
BA,2928307,Santanópolis,8.776,4.923.270,9.210.790,12.699.263,3.488.473,560.99,1049.54,1447.04,,
BA,2928406,Santa Rita de Cássia,26.250,11.487.631,22.090.675,31.145.309,9.054.634,437.62,841.55,1186.49,,
BA,2928505,Santa Teresinha,9.648,6.564.361,8.216.994,14.922.375,6.705.381,680.39,851.68,1546.68,,
BA,2928604,Santo Amaro,57.800,18.051.992,39.317.107,58.659.050,19.341.943,312.32,680.23,1014.86,,
BA,2928703,Santo Antônio de Jesus,90.985,22.975.262,57.162.298,95.739.469,38.577.171,252.52,628.26,1052.26,,
BA,2928802,Santo Estêvão,47.880,16.410.901,35.770.497,48.960.150,13.189.653,342.75,747.09,1022.56,,
BA,2928901,São Desidério,27.659,11.487.631,46.793.159,79.067.164,32.274.005,415.33,1691.79,2858.64,,
BA,2928950,São Domingos,9.226,4.967.602,8.795.748,12.951.914,4.156.166,538.44,953.37,1403.85,,
BA,2929008,São Félix,14.098,8.205.451,12.401.645,25.525.730,13.124.085,582.03,879.67,1810.59,,
BA,2929057,São Félix do Coribe,13.048,6.564.361,12.727.363,20.413.607,7.686.244,503.09,975.43,1564.50,,
BA,2929107,São Felipe,20.305,9.846.541,15.073.532,23.654.152,8.580.620,484.93,742.36,1164.94,,
BA,2929206,São Francisco do Conde,33.183,13.128.721,249.261.457,426.863.428,177.601.971,395.65,7511.72,12863.92,,
BA,2929255,São Gabriel,18.427,9.846.541,20.257.683,23.534.109,3.276.426,534.35,1099.35,1277.15,,
BA,2929305,São Gonçalo dos Campos,33.283,13.128.721,20.668.607,36.523.700,15.855.093,394.46,621.00,1097.37,,
BA,2929354,São José da Vitória,5.715,7.794.034,13.826.799,19.255.521,5.428.722,1363.79,2419.39,3369.30,,
BA,2929370,São José do Jacuípe,10.180,6.564.361,11.773.576,14.515.842,2.742.266,644.83,1156.54,1425.92,,
BA,2929404,São Miguel das Matas,10.414,6.564.361,11.964.646,15.535.306,3.570.660,630.34,1148.90,1491.77,,
BA,2929503,São Sebastião do Passé,42.153,14.769.811,47.012.884,61.853.559,14.840.675,350.39,1115.29,1467.36,,
BA,2929602,Sapeaçu,16.585,9.846.541,17.831.655,23.009.187,5.177.532,593.70,1075.17,1387.35,,
BA,2929701,Sátiro Dias,18.964,9.810.035,20.400.090,25.128.346,4.728.256,517.30,1075.73,1325.06,,
BA,2929750,Saubara,11.201,6.554.467,12.400.161,16.438.688,4.038.527,585.17,1107.06,1467.61,,
BA,2929800,Saúde,11.845,6.564.361,11.345.487,16.807.428,5.461.941,554.19,957.83,1418.95,,
BA,2929909,Seabra,41.798,7.794.034,13.826.799,19.255.521,5.428.722,186.47,330.80,460.68,,
BA,2930006,Sebastião Laranjeiras,10.371,6.564.361,12.116.561,16.235.851,4.119.290,632.95,1168.31,1565.50,,
BA,2930105,Senhor do Bonfim,74.419,21.173.409,52.477.693,81.019.400,28.541.707,284.52,705.17,1088.69,,
BA,2930154,Serra do Ramalho,31.638,13.128.721,29.563.359,43.335.430,13.772.071,414.97,934.43,1369.73,,
BA,2930204,Sento Sé,37.425,14.769.811,40.376.889,52.049.432,11.672.543,394.65,1078.87,1390.77,,
BA,2930303,Serra Dourada,18.112,7.794.034,13.826.799,19.255.521,5.428.722,430.32,763.41,1063.14,,
